Entry	Interacts with
Q12199	P43612
P47988	
Q12009	Q03774
P80967	P25574; P47133; P40540
P49334	P53969; P53220; P35180; P23644; Q07812
Q03660	P32613; P38334; P32893
P00942	
P0CX33	
Q05043	
P38990	Q00684
P38352	P53909; Q12018; Q08273; P52286
P40856	P20604
P40963	P32447; Q12495; Q04003
Q03799	
P51534	P19524; P32492; Itself
P38272	P32492; P36068
P53009	
Q9ZZX1	
P36048	P32357; P32639
Q02100	
Q12098	P47027; P06777; P38850; P38324
P18888	P32628; P14736; P38956; P32591; P35189
P38925	
P25582	P43586; Q07896; Q12080; P36160
P39932	
P36085	
P32944	Q00684; P32562; P38274; P13185
Q06707	
P50105	P46677; Q03761; P38129; Q05027
P43534	P39940
P53038	
P25372	
P25576	
Q12488	Q01454; P30665; P40359; Q03406
Q12211	
Q06108	
P0C2H6	
P36531	
Q06678	
P32338	
P0CX86	
P04051	P41910; P35718
P40541	Q12158; P32908; P47037
Q04964	P21524
P32915	Q05787; P46964; Q99380; P00729; P21825; P33754; P35179; P39007; Q02795; P33767
P25808	
P53852	
Q12004	
Q3E790	
P18562	P27515
P39538	
P32861	P31374; Q08217
P21538	
P32327	
P38623	P32485
P38339	Itself
P03871	Itself; P03872
P40348	P49956; P38877; Q12050; P32641; P38629
Q12504	
P32611	
P05739	
P08518	P22139; P16370; P20434; P07703; P04050; P41896
P45818	P38713; P53254
Q02555	Q00416
P25381	
Q08162	P38792; Q08285; P53256; P46948
P34226	
P52286	Q06150; P07834; Q12018; P35203; P47005; Q08496; P32324; P24814; Q12347; Q05930; P39014; P47104; P39531; Q04847; P38352; Q08446; P42843; P47822; Q05947; Q04511; Q03899; Q06640; Q06479
P18480	P35189
P41808	P02829
P38282	
P37262	
P54867	
Q07084	P53599; P25390; Q07688
P53032	
P38123	P39706
Q6WNK7	P06704; P46674; Q03067
P38088	
P39078	
P38129	Q12060; P23255; P50105; Itself; P53040
Q08921	P25293; P35169
P57744	P53299
Q02863	
P04840	
Q02785	P33302
P0CE86	
Q07930	P40565
P25043	P25451
P54885	
P32863	P25454
Q08237	
P26754	P22336
P38630	
P0CX83	
P0CX85	
P0CX45	
P36519	
P05737	
P53046	
P34087	P20433
P0CX29	
P46675	P53267
P49957	P53738
P53738	P25627; Q03920; Q12463; P49957
P35200	O60200
P0CF16	
Q12132	
P40157	
Q12252	
Q04370	Q05568; P80667
P53844	P53037; Q08984
P37012	
Q12044	
P21672	
P25348	
P27999	P20436
P50106	P46669
P40858	
P35178	P39744
P25345	
Q04226	Q12030; P11747
Q02931	P42945; P53276
P40453	P38822; Q05080; P38753; P43603; P36006; Q04439; P80667
P40003	P48232; P39968
