Entry	Interacts with	Cross-reference (STRING)
Q12052	P40342	4932.YPL157W;
P36165		4932.YKR089C;
Q03050		4932.YDR542W;
P20133	Q00618	4932.YPR176C;
P0CE93		4932.YGL261C;
P39685		4932.YMR129W;
P40534		4932.YIL037C;
P30657	P30656	4932.YFR050C;
P38148		4932.YBR276C;
P41805		4932.YLR075W;
P51402		4932.YDR500C;
Q12189		4932.YOR095C;
P25299	P39081; P25298; P54000	4932.YGL044C;
Q06511	P20484; Q12176; P38789; Q12153	4932.YPR143W;
Q04007		4932.YDR186C;
Q12133	P15367	4932.YLR066W;
P53394		4932.YPR003C;
P40073	P42884; P36122; Q07533; P11710; P40036; Q05080; P53901; Q12446; P53153; P21339; P08018; P39081; P39083; P23561; P25344; Q06412	4932.YER118C;
P39073		4932.YPL042C;
P38789	P36049; Q06511	4932.YHR066W;
P32583		4932.YKR092C;
P32048		4932.YNL073W;
O13539	P33441	4932.YHR167W;
Q12272		4932.YOL102C;
P07275		4932.YHR037W;
A0A0B7P221		
P38344	Q03862; P53863; P53145	4932.YBR267W;
Q04231		4932.YML011C;
P16664	P40395	4932.YDR137W;
Q06624	P52488	4932.YPR180W;
Q99188		4932.YOR107W;
P53893	Q07953	4932.YNL163C;
P38927	Q08949; Q02574; P12689; P14284	4932.YIL139C;
Q12270	P32912	4932.YPL246C;
P05738		4932.YGL147C;
Q3E7X9		4932.YOR167C;
P48589		4932.YOR369C;
P25632	Q07979; P43609	4932.YCR052W;
P48164		4932.YNL096C;
Q08281		4932.YOL138C;
Q12751		4932.YMR185W;
P38850	Q06164; P47050; Q12098	4932.YHR154W;
P36068	P32492; Q04373; P38272	4932.YKL130C;
Q08230		4932.YOL071W;
Q06236		4932.YLR164W;
P33335		4932.YPR198W;
P23179	P33323; Q02793	4932.YHL022C;
P33328	P32867	4932.YOR327C;
Q03148	Q03144	4932.YMR096W;
P36169		4932.YKR100C;
Q04438		4932.YMR107W;
P06700	Q00684; P22146; P11978	4932.YDL042C;
P53438		4932.YMR016C;
P36131	P53267; P53168; Q03954	4932.YKR037C;
P38931	P07273	4932.YDR443C;
P38637		4932.YIR011C;
D6VTK4	P06783	4932.YFL026W;
P35184		4932.YIR012W;
P09007		4932.YCR018C;
P07806		4932.YGR094W;
P53230		4932.YGR046W;
P40187		4932.YIL045W;
Q08580		4932.YOR193W;
Q12305		4932.YOR285W;
Q06835		4932.YPR094W;
Q06665		4932.YDR314C;
P06780	Q99299; P38631; P33332	4932.YPR165W;
P38234	Q12335	4932.YBR052C;
Q08003	P48582; P32571	4932.YLR073C;
P38145		4932.YBR256C;
P38883	P53877	4932.YHR197W;
P05748		4932.YLR029C;
Q06488		4932.YLR357W;
P32916	P36057	4932.YDR292C;
Q04693	P49955	4932.YML049C;
P05755		4932.YBR189W;
P36056		4932.YKL155C;
P32607	P38165	4932.YOL067C;
Q03940	P38768; Q12464; P13393	4932.YDR190C;
P20840		4932.YJR004C;
P33759		4932.YBR251W;
Q12443	P03588	4932.YDL204W;
Q12242	Q01476	4932.YOR138C;
P32909		4932.YBR172C;
P32572		4932.YNL204C;
Q03656	P35169	4932.YMR216C;
Q04398		
P50088		4932.YGR236C;
Q3E784		4932.YER180C-A;
P47821		4932.YNL025C;
P53616		4932.YNL066W;
P32579		4932.YGL169W;
P15180		4932.YDR037W;
P53882		4932.YNL176C;
Q08579		4932.YOR192C;
Q03824	P19524	4932.YMR163C;
P15454		4932.YDR454C;
Q12494		4932.YDR017C;
P39962		4932.YER123W;
Q03718	P40026; Q08204	4932.YML023C;
P34217	P22216	4932.YBL051C;
P03962		4932.YEL021W;
P00128		4932.YDR529C;
P25611		4932.YCR106W;
P36054	P07834	4932.YKL159C;
P0CX56		
P23248		4932.YML063W;
P36047	P32598; P32945; P43587	4932.YKL193C;
P40510	P40054; Itself	4932.YIL074C;
P22213	Q01590; P41834	4932.YDR189W;
P45819		4932.YGL170C;
P36126		4932.YKR031C;
P39928	Q07688	4932.YIL147C;
P38163		4932.YBL106C;
Q05515		4932.YDR346C;
P43554		4932.YFL049W;
Q12297		4932.YPL011C;
Q07914	P42949; P39515	4932.YLR008C;
P40040		4932.YER063W;
Q03774	Q12009	4932.YDR165W;
P40961	P50085	4932.YGR132C;
Q12445		4932.YLR018C;
Q12236		4932.YOL100W;
Q03338	P20053	4932.YDR473C;
P39927	Q01329	4932.YGR156W;
P36002		4932.YKL198C;
P20051		4932.YLR420W;
Q02256	P53145	4932.YIR026C;
Q9ZZX8		4932.Q0017;
Q12069		4932.YDL036C;
P39994		4932.YEL020C;
Q05131		4932.YMR034C;
P53331		4932.YGR276C;
P14736	P32628; P18888	4932.YER162C;
P05756		4932.YDR064W;
P33442		4932.YLR441C;
P05750	P34078; P40160; P46683	4932.YNL178W;
P46674	P06704; Q6WNK7	4932.YDR159W;
O14464		4932.YPL183W-A;
Q00916	P38261; P33334	4932.YIL061C;
P53289		4932.YGR161C;
P33332	P06780	4932.YER008C;
P38164	P15108; P53011	4932.YBL104C;
Q08446	P35203; P02829; P52286	4932.YOR057W;
P03877		4932.Q0060;
Q02651		4932.YPL027W;
Q08199		4932.YOL031C;
Q04921		4932.YDR218C;
P34164	P06782; P12904	4932.YGL208W;
P13574	Q03063; Q03373; P14681; P0CY06; Q00772; P18412	4932.YHR084W;
P06783	D6VTK4	4932.YKL178C;
Q02457	Q05934	4932.YPL128C;
P25644	P53550; P39517; P47017; P38203; P40070; P53905	4932.YCR077C;
P25625		4932.YCR044C;
P07256	P07257	4932.YBL045C;
P36144		4932.YKR060W;
P36517	P21560	4932.YLR439W;
P0CX27		4932.YNL162W;
Q04307		4932.YDR045C;
P16370	P38902; P08518	4932.YIL021W;
Q05022	Q08235; P53914; Q12176; P39744; Q12499; P42945; P35194; Q06078	4932.YMR229C;
