Entry	Interacts with	Cross-reference (STRING)
Q03973	Q12050	4932.YDR174W;
P21192	P53894; P30822	4932.YLR131C;
P08566	P15108	4932.YDR127W;
P36106		4932.YKL005C;
P25627	P53738	4932.YCR047C;
Q12064		4932.YDL151C;
P17106		4932.YJR060W;
P43634		4932.YLR098C;
P40955	P11076; Q05029; Q08754; Q12114	4932.YJL099W;
Q05791	P32481	4932.YLR215C;
P41902		4932.YOR031W;
P33307	Q02821	4932.YGL238W;
P14922	P53096; P40356; P48743; P32561; P16649	4932.YBR112C;
P89105	P38439; P38351; P04050; P53064; Q00772; P27692	4932.YOL145C;
P15315		4932.YGL166W;
Q12046	P32523	4932.YDL209C;
P36091		4932.YKL046C;
P36162	P35734	4932.YKR083C;
Q04792		4932.YMR250W;
Q06143		4932.YLR348C;
P33327	P36003	4932.YDL215C;
P32644	P05453	4932.YER176W;
P25358		4932.YCR034W;
Q12315	P20449; P49686; P05453	4932.YDL207W;
P38812		4932.YHR100C;
P32874		4932.YMR207C;
P06633		4932.YOR202W;
P28817		4932.YDR036C;
Q6Q5K6		4932.YML058W-A;
P32485	Q03213; P34244; P25588; P38623; P38634; P06784; Q01477	4932.YLR113W;
P39520	P53254	4932.YLR223C;
P40069	P52919	4932.YER110C;
P53629		4932.YNR019W;
P0CX77		
P39998	Q12517; P53550; P39517	4932.YEL015W;
P33317		4932.YBR252W;
P36008	P43573	4932.YKL081W;
P39717	P10823; P06244; P05132	4932.YAL056W;
Q12003		4932.YPL236C;
P53073		4932.YGL231C;
P40516		4932.YIL064W;
P04386	Itself; P04387	4932.YPL248C;
P25346		4932.YCR098C;
Q08929		4932.YPL189W;
Q08732		4932.YOR267C;
Q06214		4932.YPR169W;
Q04772		4932.YMR073C;
Q04934	Itself; P20795; P32939	4932.YDR229W;
P50082		4932.YGR225W;
P32794		4932.YLR397C;
Q07732	Q08550; Q12411; P38871	4932.YDL239C;
P36000	Q12028; Q00776; P38700; P35181; P22137	4932.YKL135C;
Q12734	P39940	4932.YPR030W;
P38428	P40318	4932.YMR264W;
Q12248	P53267; P53168	4932.YDR016C;
P32801		4932.YKL048C;
P25039		4932.YLR069C;
P32353	P53045	4932.YLR056W;
Q08023		4932.YLR077W;
P40464		4932.YIL134W;
Q04952		4932.YMR306W;
P40020	P38041; P39969; Q12038	4932.YER032W;
P32614		4932.YEL047C;
P00358	P0CG63	4932.YJR009C;
Q03768	P53295	4932.YDR152W;
P37020	Q12154	4932.YJR040W;
Q03786		4932.YDR248C;
Q12320		4932.YOR040W;
P32477		4932.YJL101C;
P47026		4932.YJL091C;
P38753	Q12168; P40563; P36037; P25604; P40453; P40343; P0CG53	4932.YHL002W;
Q02821	Q08920; P33307; Q03281; P15108; Q06142; P32499; Q03707; P05221	4932.YNL189W;
P53067	P32835; P38632	4932.YGL241W;
P36034		4932.YKL219W;
P31373		4932.YAL012W;
P18899		4932.YMR173W;
Q07648		4932.YDL219W;
P38874	P42935; Q02908; Q02884; Q04868; Itself; Q06706	4932.YHR187W;
P39875	P38920; P25847; P43246	4932.YOR033C;
P38261	P19658; Q06245; P22224; P89102; P32855; Q00916	4932.YBR102C;
P43557		4932.YFL046W;
Q12473		4932.YLL051C;
Q07825		4932.YLL029W;
P40099		4932.YER183C;
P38783		4932.YHR059W;
P28007	P32495	4932.YHR089C;
Q06135		4932.YLR343W;
P38777		4932.YHR049W;
P38301		4932.YBR187W;
Q12154	P37020; P53192; P40056; Itself; Q12125; Q12285; Q12255; P32854; P22214; P60468	4932.YDL100C;
Q12068		4932.YOL151W;
P41921		4932.YPL091W;
P38523		4932.YOR232W;
Q9ZZX0		4932.Q0075;
P10127		4932.YGL256W;
P38884		4932.YHR198C;
P53309		4932.YGR241C;
Q12013		4932.YOR034C;
P40351		4932.YOR067C;
P40467		4932.YIL130W;
Q04347		4932.YMR014W;
P25385		4932.YLR078C;
P36149	Q03630; P38334; Q03784; Q03337; Q99394	4932.YKR068C;
P06115		4932.YGR088W;
P14066		4932.YDL069C;
P07253	P21560	4932.YBR120C;
P17891	P22137	4932.YGR167W;
Q05779		4932.YLR201C;
P15365		4932.YJR152W;
P36039		4932.YKL207W;
P38229		4932.YBR045C;
P32775		4932.YEL011W;
P37291		4932.YLR058C;
P53290	Q00582	4932.YGR163W;
P38790		4932.YHR067W;
P47177		4932.YJR149W;
P37898		4932.YHR047C;
P39721		4932.YAL049C;
Q04412		4932.YDR524C;
Q12032		4932.YOR215C;
Q03673		4932.YMR003W;
Q12354		4932.YLR118C;
P38153	Q08951; P46682	4932.YBR288C;
P38832		4932.YHR126C;
P41735		4932.YOR125C;
P0CX13		
Q06538		4932.YLR241W;
Q03220		4932.YMR180C;
P14832		4932.YDR155C;
P37298		4932.YDR178W;
P0CX08		4932.YNR073C;
Q06063		4932.YLR405W;
P40217	P06103; P38249; Q04067	4932.YMR146C;
P18414		4932.YBL040C;
Q06179		4932.YLR454W;
P50264		4932.YMR020W;
Q12119		4932.YER060W-A;
P38911	Q06205; P43586; Q12080	4932.YML074C;
P53121		4932.YGL139W;
P40989		4932.YGR032W;
P38894		4932.YHR211W;
P38196		4932.YBL042C;
P53913		4932.YNL133C;
P13045	P04387	4932.YDR009W;
P48239		4932.YGR154C;
P04911	P25293	4932.YDR225W;
P38970		4932.YJL165C;
P0CY09		4932.YCR039C;
Q12347	P52286	4932.YLR097C;
P17629	Q99257	4932.YDR138W;
Q12039		4932.YOL095C;
P25038		4932.YOL023W;
P53687		4932.YOR025W;
P41833	P38236; P40167	4932.YGL192W;
Q06704	P38116	4932.YLR309C;
Q04728		4932.YMR062C;
P43542		4932.YFL062W;
P38877	P49956; P25559; P40348; P38629; P40339; P38251	4932.YHR191C;
Q06032	P25301; P31111	4932.YLR394W;
P54005	P39940	4932.YMR316W;
Q03063	Q03373; P14681; P13574	4932.YPL049C;
Q05521	Itself	4932.YDR284C;
P38728		4932.YHL043W;
P38121	P13382; P38960	4932.YBL035C;
P38347		4932.YBR271W;
P0CX10		4932.YPL281C;
P41912	Q06551	4932.YOL110W;
P21268	P11433; P18851	4932.YJL157C;
P46998		4932.YJL161W;
P53973	Itself; Q06629; Q06623	4932.YNL021W;
P36170		4932.YKR102W;
P36033		4932.YKL220C;
Q08645		4932.YOR241W;
P38715		4932.YHR104W;
P38625		4932.YMR217W;
P40582		4932.YIR038C;
P33734		4932.YBR248C;
P40985		4932.YJR036C;
P38348	P50086; P53196; Q08723; P33299; P33297; O94742	4932.YBR272C;
P07260	P12962; P39935	4932.YOL139C;
P38116	Q06704; P47061; Q12071	4932.YBR164C;
P27351		4932.YJR005W;
P25568		4932.YCL038C;
P0CZ17		4932.YLR160C;
P25558	P38928	4932.YCL014W;
P53286	P38250; P25378; P53845	4932.YGR142W;
P38084	Q02774	4932.YBR068C;
P14905		4932.YDR197W;
P39113		4932.YMR280C;
Q06703		4932.YLR308W;
Q12518	P39083; Q06407; P33338	4932.YDL161W;
Q05785	P39083; Q06407	4932.YLR206W;
P47160	Q04338	4932.YJR125C;
Q07872		4932.YLL038C;
Q03769		4932.YDR153C;
Q05050	P53252	4932.YMR031C;
Q12025		4932.YDR056C;
P38930	P15790; P19454; P43639; P39521	4932.YOR039W;
Q06440	P60010; P68135	4932.YLR429W;
P43555	Q12396	4932.YFL048C;
P22696	P07278; P10592	4932.YJR017C;
P32604	Q06137	4932.YJL155C;
P38231		4932.YBR047W;
Q08559		4932.YOR183W;
Q12029		4932.YOR271C;
P47122		4932.YJR072C;
P25373	P34230	4932.YCL035C;
P61830	P32447; P35817; Q06205; P02309; P53096; Q04636; P40161; P46995; P36124; P38890; P32597; Q08465	4932.YNL031C;
Q12341	P39984	4932.YPL001W;
P11353		4932.YDR044W;
P53686		4932.YPL015C;
Q12449	P39009; P15108; P02829	4932.YDR214W;
P40053		4932.YER080W;
Q04413		4932.YDR525W;
P38287	P35206	4932.YBR161W;
P53333		4932.YGR278W;
P53769		4932.YLR323C;
P46963	Q03957; P46962	4932.YML112W;
P47103	P33313; P15108; P02829; P32561	4932.YJR032W;
Q08387	P53150	4932.YOR005C;
P46681		4932.YDL178W;
P38246		4932.YBR076W;
Q06349		4932.YDR370C;
P36041		4932.YKL204W;
P40059		4932.YER088C;
O13529		4932.YHR021W-A;
P36148		4932.YKR067W;
Q00055		4932.YDL022W;
P41911		4932.YOL059W;
Q03764		4932.YDR147W;
Q03653		4932.YMR212C;
P09032	P32501	4932.YOR260W;
P23900		4932.YLL043W;
P00359		4932.YGR192C;
P04385	P04387	4932.YBR020W;
Q04739	P06782	4932.YER027C;
P25370		4932.YCL036W;
P33892	P43535	4932.YGL195W;
Q06201	Q04110	4932.YLR445W;
P46984	P53323; P36132	4932.YJL184W;
P38628		4932.YEL058W;
Q01976		4932.YBR111C;
Q04212		4932.YMR041C;
Q06410	Q06628; Q12421; P47057	4932.YLR423C;
Q06408		4932.YDR380W;
P53104	Q12527; Q06628; P35193; P38182	4932.YGL180W;
P13587		4932.YDR040C;
Q12691		4932.YDR038C;
P53323	Q03705; P46984; Q03835; P32642; P36132	4932.YGR262C;
Q01389	Q00684; P36006; Q04439	4932.YJL095W;
Q12510	P43603; P32793	4932.YDL156W;
Q06680	P38989; Q12267	4932.YDR325W;
P53239		4932.YGR062C;
P17898	P22140	4932.YNL130C;
Q05892		4932.YLR290C;
Q08651		4932.YOR246C;
P02992		4932.YOR187W;
P39704	P32803	4932.YAL007C;
P32352		4932.YMR202W;
P40030	P53045; P53199; Q12452; P51533	4932.YER044C;
P39676	Q07540	4932.YGR234W;
P36088		4932.YKL069W;
Q12393		4932.YLR091W;
P40107		4932.YGL225W;
P36125		4932.YKR030W;
P48236		4932.YGR149W;
P40358	P47069	4932.YJL073W;
Q12680		4932.YDL171C;
P36014		4932.YKL026C;
P53306		4932.YGR216C;
P25364		4932.YCR065W;
P40857		4932.YJL097W;
P53551	Q12692	4932.YPL127C;
P42884	P40073	4932.YNL331C;
P38700	P36000	4932.YHL019C;
P25628		4932.YCR048W;
P38840		4932.YHR137W;
Q12527	P53104; P35193; P40458; Q12292; Q06159	4932.YPR049C;
P46993		4932.YJL170C;
P34730	P29311; P32356; P22216	4932.YDR099W;
P41815		4932.YDR046C;
Q04199	P13712	4932.YML102W;
P43568	P00546	4932.YFL029C;
P06182		4932.YAL039C;
P07252		4932.YJL209W;
P32656		4932.YER163C;
P43618	P33895	4932.YFR046C;
P00420		4932.Q0275;
Q08300		4932.YOL159C;
P25334		4932.YCR069W;
P47179		4932.YJR151C;
Q08232	Q12229	4932.YOL073C;
Q06673		4932.YLR436C;
P53759	P39940	4932.YML080W;
P04387	P04385; P13045; P04386; Itself	4932.YML051W;
Q99369		4932.YOR280C;
Q06623	P53973; Q06629	4932.YPR179C;
P51979		4932.YGL251C;
P48362		4932.YGR187C;
Q08981	P53197	4932.YPL267W;
P53909	P38352	4932.YNL141W;
Q12482		4932.YPR021C;
P40502		4932.YIL087C;
P38285	P38987	4932.YBR158W;
P38856	P22137; P32521	4932.YHR161C;
P22136		4932.YMR282C;
P53954	P16661	4932.YNL048W;
P32457	P25342; P38785; Q06648	4932.YLR314C;
P38042	P53068	4932.YBL084C;
P14724		4932.YFR036W;
P20437	P00546; P17157	4932.YMR199W;
Q01519		4932.YLR038C;
P25603		4932.YCL007C;
Q08558		4932.YOR180C;
P22204	P38074; P40484	4932.YGR092W;
P38149	Itself; P53871	4932.YBR281C;
P00924		4932.YGR254W;
P32502	P12754; P14741	4932.YLR291C;
Q06344	P53743; P20448; P53254	4932.YDR365C;
Q12452	P53045; P40030; P38604	4932.YLR100W;
P25087	Itself	4932.YML008C;
P38748		4932.YHL010C;
P53233	Q00684; P00815; P35169	4932.YGR052W;
P53739	P32660; P12688	4932.YNR047W;
Q04924	P38138	4932.YDR221W;
Q03771		4932.YDR161W;
P38242	P53178	4932.YBR070C;
P35734	Q00684; P24869; P36162	4932.YKL052C;
Q8TGM5		4932.YLR154W-E;
P38360		4932.YBR295W;
P53264		4932.YGR110W;
P40501		4932.YIL088C;
P61829	Itself	4932.Q0130;
P40465	Q12318	4932.YIL132C;
Q08955	P47069	4932.YPL200W;
Q03048	P60010; P39109; P68135	4932.YLL050C;
Q12348		4932.YOL117W;
P40512		4932.YIL071C;
P47130	Q12468; Q12049	4932.YJR084W;
P41810	Q04651	4932.YDR238C;
P53079	P53271; P40094; Q06096; P53951; P53959; Q04632	4932.YGL223C;
P53271	P53079; P40094; Q06096; P53951; P53959; P53195; Q04632; Q01590	4932.YGR120C;
P43621		4932.YFR051C;
P40094	P53079; P53271; Q06096; P53951; P53959; P53195; Q01590	4932.YER157W;
P40509	P53622; P41811; P40343	4932.YIL076W;
Q06096	P53079; P53271; P40094; P53951; P53195	4932.YPR105C;
P53951	P53079; P53271; P40094; Q06096; Itself; P53959; P53195; Q04632	4932.YNL051W;
P00425		4932.YIL111W;
P00401		4932.Q0045;
P32074	P47102	4932.YNL287W;
Q04935	P00410	4932.YDR231C;
P53959	P53079; P53271; P40094; P53951; P53195; Q04632	4932.YNL041C;
P38824		4932.YHR116W;
P00427		4932.YHR051W;
P32344		4932.YLR204W;
P53195	P53271; P40094; Q06096; P53951; P53959; Q04632	4932.YGL005C;
Q2V2P9		4932.YDR119W-A;
P04039		4932.YLR395C;
P07255		4932.YDL067C;
P36064		4932.YKL137W;
Q3E7A4		4932.YBL059C-A;
P38934		4932.YOR198C;
P38770		4932.YHR036W;
P53615		4932.YNL036W;
Q03687		4932.YMR010W;
P53943		4932.YNL065W;
Q04549	P38696; P36224	4932.YDR106W;
P32381	Q05933; P53731; P38328	4932.YDL029W;
P46989		4932.YJL178C;
P22768		4932.YOL058W;
P53226		4932.YGR041W;
P43583	P32835; P30656	4932.YFL007W;
Q12186	P36084	4932.YLR116W;
Q03702		4932.YKL011C;
P26309	P41695; P26449; P40958; P47074	4932.YGL116W;
P11433	P29366; P19073; P48562; P21268; Q08229; P18851	4932.YAL041W;
P40019		4932.YER030W;
Q02732	Q12748; P53267; Q12262	4932.YPL018W;
Q2V2P8		4932.YDR374W-A;
P27697		4932.YGL119W;
P14306		4932.YLR178C;
P25355		4932.YCR054C;
P52868	Q06411	4932.YGL128C;
Q05080	P53933; P40450; Q07533; Itself; P53901; Q12446; P39955; P40073; P25604; P40453; P37370; P53169	4932.YMR032W;
P21657		4932.YIR023W;
Q12382		4932.YOR311C;
Q05874		4932.YLR285W;
P32599	P60010	4932.YDR129C;
P08431		4932.YBR018C;
P38310	P32798; P43561; P38929	4932.YBR207W;
P43577		4932.YFL017C;
Q08726		4932.YOR262W;
Q96VH4		4932.YCL026C-B;
P39996		4932.YEL017W;
P47182		4932.YJR155W;
P14164		4932.YKL112W;
P87275		4932.YER093C-A;
P00331		4932.YMR303C;
P38266	P38822; P53281; P43603; P39743; P32793	4932.YBR108W;
P47019	Q03862	4932.YJL122W;
P40047		4932.YER073W;
P39925	P40341	4932.YER017C;
P21306		4932.YPL271W;
P07251		4932.YBL099W;
P81450		4932.YML081C-A;
P47041	P32600	4932.YJL058C;
P53744		4932.YNR056C;
P39714		4932.YAL060W;
P09440		4932.YBR084W;
P40969	Itself; P35203; P22216	4932.YMR168C;
P00729	P38307; Q08109; Q05787; P32915; Q99220	4932.YMR297W;
Q03214	P32561	4932.YMR176W;
P29547		4932.YPL048W;
Q08886		4932.YOR371C;
P47013		4932.YJL134W;
P38195		4932.YBL043W;
Q12035		4932.YLR051C;
P22007	P29703	4932.YDL090C;
P03870		
P12709		4932.YBR196C;
Q08908		4932.YOR384W;
P31381		4932.YAL022C;
P25585		4932.YCL058C;
Q05015		4932.YMR222C;
P50275		4932.YOR058C;
P43601	P53855; Q06708	4932.YFR021W;
P38696	Q04549; P36224; P33420	4932.YHR129C;
P38862	Q07879; P40344; Itself; P38182; Q9GZQ8	4932.YHR171W;
P33204	Q05933; P53731; P38328	4932.YKL013C;
P38995		4932.YDR270W;
P36107	Q06346	4932.YKL004W;
P38928	P25558; P47136; P25300	4932.YIL140W;
P81451		4932.YOL077W-A;
Q03758		4932.YML111W;
P41832	Itself; P36006; P68139	4932.YNL271C;
P39960	P27637	4932.YER155C;
P53741	Itself; P25694; P38074; Q01477	4932.YNR051C;
P34237		4932.YKL179C;
P27614		4932.YJL172W;
P25342	P47136; P32457	4932.YCR002C;
P22516	P43605	4932.YPL008W;
Q07897		4932.YLR003C;
P15790	P40458; Q00684; P19454; P43639; P38930; P20448; P53335; Q12481; P40362; P53254	4932.YIL035C;
P53854		4932.YNL245C;
P38865		4932.YHR175W;
Q07533	Q05080; P40073	4932.YDL117W;
P20447		4932.YGL078C;
P24784	P06634	4932.YPL119C;
Q04217	P47083; P53254	4932.YMR128W;
P40023		4932.YER035W;
P10823	P08678; P39717	4932.YER020W;
Q07830		4932.YLL031C;
P47088		4932.YJR013W;
P53961		4932.YNL038W;
P38875	P39012; Q04080; P49018	4932.YHR188C;
Q04080	P38875; P49018	4932.YDR434W;
P40367		4932.YJL062W;
P49018	P39012; P38875; Q04080	4932.YDR331W;
P15891	P40563; P53933; P53974; Q06604; Q12134; P50942; P43603; P40494; P39743; Q08873; P32790; P17555; P32793	4932.YCR088W;
P43547		4932.YFL056C;
P29589		4932.YHR093W;
Q04516		4932.YML087C;
P38885		4932.YHR199C;
P37254		4932.YNR033W;
P0CX78		
P35190	P17157; P10591	4932.YGL215W;
P00045		4932.YEL039C;
Q06151	Itself; Q12123; P32356	4932.YLR270W;
Q12084	P27515	4932.YDR020C;
P32325	P06243	4932.YDR052C;
P32891		4932.YDL174C;
P31385		4932.YAL013W;
Q08729		4932.YOR264W;
Q05902		4932.YLR299W;
P39985		4932.YEL055C;
P21951	P24482	4932.YNL262W;
P24521		4932.YMR220W;
P46671	P53917; P43592; Q05040; Q03944	4932.YMR052W;
P19658	P38261; Q00245; Q06245; P22224; P32844	4932.YJL085W;
P35731		4932.YKL055C;
Q03254		4932.YMR277W;
P29703	P18898; P22007	4932.YKL019W;
Q05040	P46671; P02994	4932.YMR029C;
P18411		4932.YAL008W;
Q08622		4932.YOR205C;
P40056	P53192; Q12154	4932.YER083C;
P13711		4932.YGL205W;
P47036		
P32454		4932.YKL157W;
P14904	Itself; P35193	4932.YKL103C;
Q08492		4932.YOR078W;
P53841		4932.YNL269W;
P41698		4932.YLR353W;
P36038		4932.YKL208W;
P24870	Q00684; P20486	4932.YDL155W;
O13547		4932.YLR390W-A;
Q12287		4932.YLL009C;
P32623		4932.YEL040W;
P43497		4932.YKL096W-A;
P36075		4932.YKL090W;
P53899		4932.YNL155W;
P32347	P39940	4932.YDR047W;
Q04895		4932.YIR028W;
P36009	P38719; Itself; P38333; P53941; P53317; P53131; P40362; P53254; P40498	4932.YKL078W;
P13382	P32797; Q01454; P38121	4932.YNL102W;
P39727	Q04651	4932.YAL042W;
P36168		4932.YKR096W;
P38767		4932.YHR032W;
P53917	P46671	4932.YNL127W;
P42940		4932.YGR207C;
P23776		4932.YLR300W;
Q08421		4932.YOR051C;
P13434		4932.YBL021C;
P40466		4932.YIL131C;
Q08991		4932.YPL279C;
P40515	P36130; P47025; Q12118	4932.YIL065C;
P00360		4932.YJL052W;
Q03655		4932.YMR215W;
P38270	Q05789; Q02948	4932.YBR128C;
Q03818	P38316; Itself; Q12380	4932.YMR159C;
P13517	P28495	4932.YIL034C;
P32178		4932.YPR060C;
P32471	P02994	4932.YAL003W;
P38723		4932.YHL048W;
Q07560		4932.YDL142C;
P38308		4932.YBR203W;
P47977		4932.YLR136C;
P08678	P10823; P17555	4932.YJL005W;
Q02770		4932.YPL064C;
Q08412	P38182; P43603; P39940; P32793	4932.YOR042W;
P04819		4932.YDL164C;
P32892	Q12389; Q04660; P43586; P37838; P40693	4932.YLL008W;
Q02647	P40960	4932.YDR424C;
P48510	P34222; P38886; O13563; P33299; P0CG63; Q16186; O48726; P0CG48	4932.YMR276W;
P33309	P32769	4932.YNL001W;
Q04089		4932.YDR440W;
Q04110	Q06201	4932.YDR446W;
P53861	Q03071	4932.YNL230C;
P28003		4932.YAL034C;
P25659		4932.YCR076C;
P40569		4932.YIR013C;
Q06104		4932.YPR109W;
P38263		4932.YBR105C;
P25569	P53076	4932.YCL039W;
P53154		4932.YGL084C;
Q08992		4932.YPL280W;
P32590		4932.YBR169C;
P32339		4932.YLR205C;
P0CY11		4932.YCR097W;
P19211		4932.YJR047C;
P47031		4932.YJL082W;
P53219		4932.YGR031W;
P40884		4932.YJL216C;
P11986		4932.YJL153C;
Q12031		4932.YPR006C;
P08521		4932.YOR302W;
Q06834		4932.YPR093C;
P54858		4932.YDR068W;
P53208		4932.YGR015C;
Q05871		4932.YLR284C;
P02994	P43573; P32471; Q05040; P17555; Q62384	4932.YPR080W;
P53622	P41811; P40509; P33767	4932.YDL145C;
Q04632	P53079; P53271; P53951; P53959; P53195	4932.YML071C;
P21592		4932.YPL172C;
P19454	Q00684; P15790; P43639; P38930	4932.YOR061W;
P35206	P38287; Q02774	4932.YBR036C;
P10614	P53045	4932.YHR007C;
P38859	P26793; P22336	4932.YHR164C;
Q03652		4932.YMR211W;
P34216	P25623	4932.YBL047C;
P00925	P21269; P39940	4932.YHR174W;
P06103	Q05911; P32497; Itself; P38249; P40217; Q04067	4932.YOR361C;
P25333		4932.YCR008W;
Q06674		4932.YDR317W;
P47171		4932.YJR140C;
P15992	Itself	4932.YBR072W;
P10591	P53940; P35190; P38260; P15108; P33416; P02829; P25693; P17157; Q01939; P25294; P32589	4932.YAL005C;
P39734		4932.YAL028W;
Q12122		4932.YDL131W;
P47170		4932.YJR138W;
Q03361		4932.YDR475C;
P38691	P38873; P35169	4932.YHR082C;
P13186	P33306; P27637; P43565	4932.YLR096W;
Q07622	P39940	4932.YDL203C;
P33304		4932.YDR085C;
P25377	Q12265	4932.YCR105W;
P14540		4932.YKL060C;
P53730		4932.YNR030W;
P40350		4932.YPL227C;
P53886	Itself; P53068; P40577	4932.YNL172W;
Q00381	P38065	4932.YJR058C;
Q04368	Q03981; Q12468	4932.YMR025W;
P21595		4932.YDR402C;
P26343		4932.YKR034W;
Q06409		4932.YLR422W;
P35497		4932.YJR159W;
Q08650		4932.YOR245C;
P32601		4932.YPR017C;
P53080		4932.YGL222C;
Q99252		4932.YOR092W;
P14284	P38927	4932.YPL167C;
Q06200		4932.YLR443W;
P23797		4932.YMR281W;
Q05775	Q03195	4932.YLR192C;
P11412		4932.YNL241C;
Q12676		4932.YMR113W;
P51601		4932.YGR267C;
P41277		4932.YIL053W;
P43570		4932.YFL027C;
Q12692	P35817; P53551; Itself; P47069; Q05471; Q03433; Q03388	4932.YOL012C;
P38635		4932.YFR025C;
P10592	P53940; P18900; P22696; P02829; P17505; P25294	4932.YLL024C;
P19158		4932.YOL081W;
P36224	P38696; Q04549; P33420	4932.YMR294W;
Q06683		4932.YDR332W;
Q07843		4932.YLL033W;
P33550		4932.YKR061W;
P17260		4932.YNL322C;
Q04437	P22336; P11978; Q12306; P32807	4932.YMR106C;
P0CX12		4932.YML132W;
Q12123	Q06151	4932.YOR173W;
Q08949	Q02574; P48581; P38927	4932.YPL194W;
P32328	P40484	4932.YPR111W;
P14020		4932.YPR183W;
P40540	P14359; P80967	4932.YIL027C;
P32501	P09032	4932.YDR211W;
P12754	P32502; P14741	4932.YGR083C;
Q05498		4932.YDR339C;
P32472		4932.YDR519W;
P40088	P38993	4932.YER145C;
P08417		4932.YPL262W;
P40492		4932.YIL097W;
P40208	P53076	4932.YMR135C;
Q04233		4932.YML006C;
Q03554		4932.YMR292W;
P38736	Q01590	4932.YHL031C;
P48566		4932.YNL293W;
P06775		4932.YGR191W;
Q12373	P39984; P02309	4932.YLL022C;
Q04429		4932.YDR528W;
P0CT04		4932.YNL015W;
Q12358		4932.YLL057C;
P32350		4932.YLL019C;
P52923		4932.YNR074C;
P43567		4932.YFL030W;
Q01574		4932.YAL054C;
P35181	P36000; Q12028; Q00776	4932.YLR170C;
D6W196		4932.YNL083W;
Q12468	Q04368; P47130	4932.YDL216C;
P53053		4932.YGL263W;
Q07788		4932.YDL248W;
P25596		4932.YCL073C;
Q02979		4932.YPL110C;
P38682		4932.YER122C;
P32191		4932.YIL155C;
P30777		4932.YGL142C;
P32190		4932.YHL032C;
P36156		4932.YKR076W;
Q08220		4932.YOL049W;
Q08484	P51996; O35963	4932.YOR070C;
P53941	P36009; P38333; P47083	4932.YNL075W;
Q08295		4932.YOL157C;
P40576	Q02888	4932.YIR024C;
P36115	P40559	4932.YKR019C;
P17423		4932.YHR025W;
P27810		4932.YOR099W;
P00175		4932.YML054C;
P25616		4932.YCR015C;
P41817		4932.YPL177C;
P89113		4932.YOL052C-A;
P69771	P53843; P52917; Q06263	4932.YKR035W-A;
P39517	Q12517; P39998; P47017; P38203; P40070; P39016; P25644; P39008	4932.YDL160C;
P38213		4932.YBR007C;
P53173		4932.YGL054C;
P53199	P40030; P38132	4932.YGL001C;
P52911		4932.YDR261C;
P40214		4932.YMR144W;
P07149	P19097	4932.YKL182W;
Q99339		4932.YLL065W;
P53849	P04147	4932.YNL255C;
P02293	P32597	4932.YDR224C;
Q12753	P11710	4932.YPR008W;
P39984	Q12341; Q12373	4932.YEL056W;
P00498		4932.YER055C;
P18963		4932.YBR140C;
P07347	Itself; P12945	4932.YHR013C;
Q08280		4932.YOL137W;
Q02948	P38270; Q05919	4932.YPL120W;
Q05029	P11076; P36122; Q08754; Q12114; P40955	4932.YMR237W;
P29366	P38041; P39969; P53280; P11433; P19073; P48562; P54199; Q08229; Q03497	4932.YBR200W;
P47068	P40563; P53933; P38822; P36006; Q04439; Q06833	4932.YJL020C;
P20438	P00546	4932.YPL256C;
P53188	P36049; P40078	4932.YGL029W;
P47112		4932.YJR046W;
P32657		4932.YER164W;
Q06675		4932.YDR318W;
P38907		4932.YDR254W;
Q3E846		4932.YMR244C-A;
Q04868	P42935; Q02908; Q02884; Itself; P38874; Q06706	4932.YMR312W;
Q03071	P53861; P06779	4932.YPL046C;
Q03103		4932.YML130C;
P40098		4932.YER182W;
P20081	P43573; P10869; P35169; P32600; Q9FR53	4932.YNL135C;
Q08193		4932.YOL030W;
Q05580		4932.YDR266C;
P09932		4932.YDL227C;
P07342		4932.YMR108W;
P47155	Q04201	4932.YJR118C;
P10081	P39935	4932.YKR059W;
Q06142	P14907; P20676; Q02629; Q02630; P40477; P32499; P49686; Q02199; P48837; P39705; Q02821	4932.YLR347C;
P00817	P39940	4932.YBR011C;
P06244	P07278; P39717	4932.YJL164C;
P38312		4932.YBR210W;
P43613		4932.YFR041C;
Q08906		4932.YOR382W;
P29704		4932.YHR190W;
P38224		4932.YBR040W;
Q12209		4932.YLR047C;
P43574		4932.YFL021W;
Q06648	P32458; P32468; P32457	4932.YDR309C;
Q04839	P20449; P32505; P50111	4932.YMR255W;
P25555	Q01560	4932.YCL011C;
P48813		4932.YDR508C;
P0CE11		4932.YER039C;
P37303		4932.YEL046C;
Q12096		4932.YOR320C;
P40154		4932.YNL215W;
Q04082		4932.YDR437W;
Q6Q546		4932.YNR032C-A;
P32351		4932.YIL154C;
Q12385		4932.YLR099C;
P43560		4932.YFL042C;
Q02783	Q01926	4932.YPL060W;
P38878		4932.YHR192W;
P53728		4932.YNR028W;
Q99321		4932.YOR163W;
Q08225		4932.YOL057W;
Q99247		4932.YOL087C;
Q06340	Q06211; P47050	4932.YDR363W;
Q08119		4932.YOL017W;
P42222		4932.YMR323W;
P34756	P42837; Q06708	4932.YFR019W;
P40456		4932.YIL151C;
P39732	P32598	4932.YAL031C;
Q12418		4932.YLR094C;
P53192	P40056; Q12154	4932.YGL020C;
P35197		4932.YDL226C;
Q04178		4932.YDR399W;
P12684	P12683	4932.YLR450W;
P34244	P32485	4932.YKL101W;
Q12214		4932.YPR068C;
